Standard_Code,Description
Reading Informational Texts,
Key Ideas and Details:,
CCSS.RI.8.1,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS.RI.8.2,"Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text."
CCSS.RI.8.3,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories)."
CCSS.Craft and Structure:,
CCSS.RI.8.4,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
CCSS.RI.8.5,"Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept."
CCSS.RI.8.6,Determine an author's point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.
CCSS.Integration of Knowledge and Ideas:,
CCSS.RI.8.7,"Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea."
CCSS.RI.8.8,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced."
CCSS.RI.8.9,Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.
CCSS.RI.8.10,"By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6-8 text complexity band independently and proficiently."
CCSS.Reading Literature,
CCSS.Key Ideas and Details:,
CCSS.RL.8.1,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
CCSS.RL.8.2,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text."
CCSS.RL.8.3,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision."
CCSS.RL.8.4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
CCSS.RL.8.5,Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.
CCSS.RL.8.6,"Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor."
CCSS.RL.8.7,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors."
CCSS.RL.8.9,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new."
CCSS.Range of Reading and Level of Text Complexity:,
CCSS.RL.8.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6-8 text complexity band independently and proficiently."
CCSS.Writing,
CCSS.Text Types and Purposes:,
CCSS.W.8.1,Write arguments to support claims with clear reasons and relevant evidence
CCSS.W.8.1.a,"Introduce claim(s), acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically."
CCSS.W.8.1.b,"Support claim(s) with logical reasoning and relevant evidence, using accurate, credible sources and demonstrating an understanding of the topic or text."
CCSS.W.8.1.c,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence."
CCSS.W.8.1.d,Establish and maintain a formal style.
CCSS.W.8.1.e,Provide a concluding statement or section that follows from and supports the argument presented.
CCSS.W.8.2,"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content."
CCSS.W.8.2.a,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
CCSS.W.8.2.b,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples."
CCSS.W.8.2.c,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.
CCSS.W.8.2.d,Use precise language and domain-specific vocabulary to inform about or explain the topic.
CCSS.W.8.2.e,Establish and maintain a formal style.
CCSS.W.8.2.f,Provide a concluding statement or section that follows from and supports the information or explanation presented.
CCSS.W.8.3,"Write narratives to develop real or imagined experiences or events using effective technique, relevant descriptive details, and well-structured event sequences."
CCSS.W.8.3.a,Engage and orient the reader by establishing a context and point of view and introducing a narrator and/or characters; organize an event sequence that unfolds naturally and logically.
CCSS.W.8.3.b,"Use narrative techniques, such as dialogue, pacing, description, and reflection, to develop experiences, events, and/or characters."
CCSS.W.8.3.c,"Use a variety of transition words, phrases, and clauses to convey sequence, signal shifts from one time frame or setting to another, and show the relationships among experiences and events."
CCSS.W.8.3.d,"Use precise words and phrases, relevant descriptive details, and sensory language to capture the action and convey experiences and events."
CCSS.W.8.3.e,Provide a conclusion that follows from and reflects on the narrated experiences or events.
CCSS.Production and Distribution of Writing:,
CCSS.W.8.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1-3 above.)"
CCSS.W.8.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed. (Editing for conventions should demonstrate command of Language standards 1-3 up to and including grade 8 here.)"
CCSS.W.8.6,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas efficiently as well as to interact and collaborate with others."
CCSS.Research to Build and Present Knowledge:,
CCSS.W.8.7,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration."
CCSS.W.8.8,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation."
CCSS.W.8.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research."
CCSS.W.8.9.a,"Apply grade 8 Reading standards to literature (e.g., ""Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new"")."
CCSS.W.8.9.b,"Apply grade 8 Reading standards to literary nonfiction (e.g., ""Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced"")."
CCSS.Range of Writing:,
CCSS.W.8.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
CCSS.Speaking and Listening,
CCSS.Comprehension and Collaboration:,
CCSS.SL.8.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 8 topics, texts, and issues, building on others' ideas and expressing their own clearly."
CCSS.SL.8.1.a,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
CCSS.SL.8.1.b,"Follow rules for collegial discussions and decision-making, track progress toward specific goals and deadlines, and define individual roles as needed."
CCSS.SL.8.1.c,"Pose questions that connect the ideas of several speakers and respond to others' questions and comments with relevant evidence, observations, and ideas."
CCSS.SL.8.1.d,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented."
CCSS.SL.8.2,"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation."
CCSS.SL.8.3,"Delineate a speaker's argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced."
CCSS.Presentation of Knowledge and Ideas:,
CCSS.SL.8.4,"Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation."
CCSS.SL.8.5,"Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest."
CCSS.SL.8.6,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate. (See grade 8 Language standards 1 and 3 here for specific expectations.)"
CCSS.Language,
CCSS.Conventions of Standard English:,
CCSS.L.8.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
CCSS.L.8.1.a,"Explain the function of verbals (gerunds, participles, infinitives) in general and their function in particular sentences."
CCSS.L.8.1.b,Form and use verbs in the active and passive voice.
CCSS.L.8.1.c,"Form and use verbs in the indicative, imperative, interrogative, conditional, and subjunctive mood."
CCSS.L.8.1.d,Recognize and correct inappropriate shifts in verb voice and mood.*
CCSS.L.8.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
